"epochNums","epochDates","epochDays"
321,"Wed Apr 28 19:50:00 2004",12537.1180555556
322,"Wed Apr 28 19:55:00 2004",12537.1215277778
323,"Wed Apr 28 20:00:00 2004",12537.125
324,"Wed Apr 28 20:05:00 2004",12537.1284722222
325,"Wed Apr 28 20:10:00 2004",12537.1319444444
326,"Wed Apr 28 20:15:00 2004",12537.1354166667
327,"Wed Apr 28 20:20:00 2004",12537.1388888889
328,"Wed Apr 28 20:25:00 2004",12537.1423611111
329,"Wed Apr 28 20:30:00 2004",12537.1458333333
330,"Wed Apr 28 20:35:00 2004",12537.1493055556
331,"Wed Apr 28 20:40:00 2004",12537.1527777778
332,"Wed Apr 28 20:45:00 2004",12537.15625
333,"Wed Apr 28 20:50:00 2004",12537.1597222222
334,"Wed Apr 28 20:55:00 2004",12537.1631944444
335,"Wed Apr 28 21:00:00 2004",12537.1666666667
336,"Wed Apr 28 21:05:00 2004",12537.1701388889
337,"Wed Apr 28 21:10:00 2004",12537.1736111111
338,"Wed Apr 28 21:15:00 2004",12537.1770833333
339,"Wed Apr 28 21:20:00 2004",12537.1805555556
340,"Wed Apr 28 21:25:00 2004",12537.1840277778
341,"Wed Apr 28 21:30:00 2004",12537.1875
342,"Wed Apr 28 21:35:00 2004",12537.1909722222
343,"Wed Apr 28 21:40:00 2004",12537.1944444444
344,"Wed Apr 28 21:45:00 2004",12537.1979166667
345,"Wed Apr 28 21:50:00 2004",12537.2013888889
346,"Wed Apr 28 21:55:00 2004",12537.2048611111
347,"Wed Apr 28 22:00:00 2004",12537.2083333333
348,"Wed Apr 28 22:05:00 2004",12537.2118055556
349,"Wed Apr 28 22:10:00 2004",12537.2152777778
350,"Wed Apr 28 22:15:00 2004",12537.21875
351,"Wed Apr 28 22:20:00 2004",12537.2222222222
352,"Wed Apr 28 22:25:00 2004",12537.2256944444
353,"Wed Apr 28 22:30:00 2004",12537.2291666667
354,"Wed Apr 28 22:35:00 2004",12537.2326388889
355,"Wed Apr 28 22:40:00 2004",12537.2361111111
356,"Wed Apr 28 22:45:00 2004",12537.2395833333
357,"Wed Apr 28 22:50:00 2004",12537.2430555556
358,"Wed Apr 28 22:55:00 2004",12537.2465277778
359,"Wed Apr 28 23:00:00 2004",12537.25
360,"Wed Apr 28 23:05:00 2004",12537.2534722222
361,"Wed Apr 28 23:10:00 2004",12537.2569444444
362,"Wed Apr 28 23:15:00 2004",12537.2604166667
363,"Wed Apr 28 23:20:00 2004",12537.2638888889
364,"Wed Apr 28 23:25:00 2004",12537.2673611111
365,"Wed Apr 28 23:30:00 2004",12537.2708333333
366,"Wed Apr 28 23:35:00 2004",12537.2743055556
367,"Wed Apr 28 23:40:00 2004",12537.2777777778
368,"Wed Apr 28 23:45:00 2004",12537.28125
369,"Wed Apr 28 23:50:00 2004",12537.2847222222
370,"Wed Apr 28 23:55:00 2004",12537.2881944444
371,"Thu Apr 29 00:00:00 2004",12537.2916666667
372,"Thu Apr 29 00:05:00 2004",12537.2951388889
373,"Thu Apr 29 00:10:00 2004",12537.2986111111
374,"Thu Apr 29 00:15:00 2004",12537.3020833333
375,"Thu Apr 29 00:20:00 2004",12537.3055555556
376,"Thu Apr 29 00:25:00 2004",12537.3090277778
377,"Thu Apr 29 00:30:00 2004",12537.3125
378,"Thu Apr 29 00:35:00 2004",12537.3159722222
379,"Thu Apr 29 00:40:00 2004",12537.3194444444
380,"Thu Apr 29 00:45:00 2004",12537.3229166667
381,"Thu Apr 29 00:50:00 2004",12537.3263888889
382,"Thu Apr 29 00:55:00 2004",12537.3298611111
383,"Thu Apr 29 01:00:00 2004",12537.3333333333
384,"Thu Apr 29 01:05:00 2004",12537.3368055556
385,"Thu Apr 29 01:10:00 2004",12537.3402777778
386,"Thu Apr 29 01:15:00 2004",12537.34375
387,"Thu Apr 29 01:20:00 2004",12537.3472222222
388,"Thu Apr 29 01:25:00 2004",12537.3506944444
389,"Thu Apr 29 01:30:00 2004",12537.3541666667
390,"Thu Apr 29 01:35:00 2004",12537.3576388889
391,"Thu Apr 29 01:40:00 2004",12537.3611111111
392,"Thu Apr 29 01:45:00 2004",12537.3645833333
393,"Thu Apr 29 01:50:00 2004",12537.3680555556
394,"Thu Apr 29 01:55:00 2004",12537.3715277778
395,"Thu Apr 29 02:00:00 2004",12537.375
396,"Thu Apr 29 02:05:00 2004",12537.3784722222
397,"Thu Apr 29 02:10:00 2004",12537.3819444444
398,"Thu Apr 29 02:15:00 2004",12537.3854166667
399,"Thu Apr 29 02:20:00 2004",12537.3888888889
400,"Thu Apr 29 02:25:00 2004",12537.3923611111
401,"Thu Apr 29 02:30:00 2004",12537.3958333333
402,"Thu Apr 29 02:35:00 2004",12537.3993055556
403,"Thu Apr 29 02:40:00 2004",12537.4027777778
404,"Thu Apr 29 02:45:00 2004",12537.40625
405,"Thu Apr 29 02:50:00 2004",12537.4097222222
406,"Thu Apr 29 02:55:00 2004",12537.4131944444
407,"Thu Apr 29 03:00:00 2004",12537.4166666667
408,"Thu Apr 29 03:05:00 2004",12537.4201388889
409,"Thu Apr 29 03:10:00 2004",12537.4236111111
410,"Thu Apr 29 03:15:00 2004",12537.4270833333
411,"Thu Apr 29 03:20:00 2004",12537.4305555556
412,"Thu Apr 29 03:25:00 2004",12537.4340277778
413,"Thu Apr 29 03:30:00 2004",12537.4375
414,"Thu Apr 29 03:35:00 2004",12537.4409722222
415,"Thu Apr 29 03:40:00 2004",12537.4444444444
416,"Thu Apr 29 03:45:00 2004",12537.4479166667
417,"Thu Apr 29 03:50:00 2004",12537.4513888889
418,"Thu Apr 29 03:55:00 2004",12537.4548611111
419,"Thu Apr 29 04:00:00 2004",12537.4583333333
420,"Thu Apr 29 04:05:00 2004",12537.4618055556
421,"Thu Apr 29 04:10:00 2004",12537.4652777778
422,"Thu Apr 29 04:15:00 2004",12537.46875
423,"Thu Apr 29 04:20:00 2004",12537.4722222222
424,"Thu Apr 29 04:25:00 2004",12537.4756944444
425,"Thu Apr 29 04:30:00 2004",12537.4791666667
426,"Thu Apr 29 04:35:00 2004",12537.4826388889
427,"Thu Apr 29 04:40:00 2004",12537.4861111111
428,"Thu Apr 29 04:45:00 2004",12537.4895833333
429,"Thu Apr 29 04:50:00 2004",12537.4930555556
430,"Thu Apr 29 04:55:00 2004",12537.4965277778
431,"Thu Apr 29 05:00:00 2004",12537.5
432,"Thu Apr 29 05:05:00 2004",12537.5034722222
433,"Thu Apr 29 05:10:00 2004",12537.5069444444
434,"Thu Apr 29 05:15:00 2004",12537.5104166667
435,"Thu Apr 29 05:20:00 2004",12537.5138888889
436,"Thu Apr 29 05:25:00 2004",12537.5173611111
437,"Thu Apr 29 05:30:00 2004",12537.5208333333
438,"Thu Apr 29 05:35:00 2004",12537.5243055556
439,"Thu Apr 29 05:40:00 2004",12537.5277777778
440,"Thu Apr 29 05:45:00 2004",12537.53125
441,"Thu Apr 29 05:50:00 2004",12537.5347222222
442,"Thu Apr 29 05:55:00 2004",12537.5381944444
443,"Thu Apr 29 06:00:00 2004",12537.5416666667
444,"Thu Apr 29 06:05:00 2004",12537.5451388889
445,"Thu Apr 29 06:10:00 2004",12537.5486111111
446,"Thu Apr 29 06:15:00 2004",12537.5520833333
447,"Thu Apr 29 06:20:00 2004",12537.5555555556
448,"Thu Apr 29 06:25:00 2004",12537.5590277778
449,"Thu Apr 29 06:30:00 2004",12537.5625
450,"Thu Apr 29 06:35:00 2004",12537.5659722222
451,"Thu Apr 29 06:40:00 2004",12537.5694444444
452,"Thu Apr 29 06:45:00 2004",12537.5729166667
453,"Thu Apr 29 06:50:00 2004",12537.5763888889
454,"Thu Apr 29 06:55:00 2004",12537.5798611111
455,"Thu Apr 29 07:00:00 2004",12537.5833333333
456,"Thu Apr 29 07:05:00 2004",12537.5868055556
457,"Thu Apr 29 07:10:00 2004",12537.5902777778
458,"Thu Apr 29 07:15:00 2004",12537.59375
459,"Thu Apr 29 07:20:00 2004",12537.5972222222
460,"Thu Apr 29 07:25:00 2004",12537.6006944444
461,"Thu Apr 29 07:30:00 2004",12537.6041666667
462,"Thu Apr 29 07:35:00 2004",12537.6076388889
463,"Thu Apr 29 07:40:00 2004",12537.6111111111
464,"Thu Apr 29 07:45:00 2004",12537.6145833333
465,"Thu Apr 29 07:50:00 2004",12537.6180555556
466,"Thu Apr 29 07:55:00 2004",12537.6215277778
467,"Thu Apr 29 08:00:00 2004",12537.625
468,"Thu Apr 29 08:05:00 2004",12537.6284722222
469,"Thu Apr 29 08:10:00 2004",12537.6319444444
470,"Thu Apr 29 08:15:00 2004",12537.6354166667
471,"Thu Apr 29 08:20:00 2004",12537.6388888889
472,"Thu Apr 29 08:25:00 2004",12537.6423611111
473,"Thu Apr 29 08:30:00 2004",12537.6458333333
474,"Thu Apr 29 08:35:00 2004",12537.6493055556
475,"Thu Apr 29 08:40:00 2004",12537.6527777778
476,"Thu Apr 29 08:45:00 2004",12537.65625
477,"Thu Apr 29 08:50:00 2004",12537.6597222222
478,"Thu Apr 29 08:55:00 2004",12537.6631944444
479,"Thu Apr 29 09:00:00 2004",12537.6666666667
480,"Thu Apr 29 09:05:00 2004",12537.6701388889
481,"Thu Apr 29 09:10:00 2004",12537.6736111111
482,"Thu Apr 29 09:15:00 2004",12537.6770833333
483,"Thu Apr 29 09:20:00 2004",12537.6805555556
